Work Program Group,Work Program,Unit,Fiscal Year,"Bank Budget (BB) (US$, Millions)","All Funds (US$, Millions)",External Budget,Percentage of External Budget,Funding Source Evaluation,Work Program Group Abbreviation,Work Program Abbreviation
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2023,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2023,6.6,8.9,2.3000000000000007,34.84848484848486,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Development Policy And Partnerships",2023,4.0,6.3,2.3,57.49999999999999,Not Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2023,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2023,2.0,2.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2023,3.0,3.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2023,3.0,3.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2023,5.8,5.8,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2023,5.4,5.4,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2023,2.1,2.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Strategic Initiatives Unit,2023,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2023,162.7,202.2,39.5,24.27781192378611,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Directorate,2023,9.7,13.6,3.9000000000000004,40.206185567010316,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,People and Culture,2023,64.2,97.5,33.3,51.86915887850466,Not Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2023,266.4,343.3,76.90000000000003,28.866366366366382,Ideal,IGAS,AS
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2023,30.0,30.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2023,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2023,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2023,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2023,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Regions Program & Practice Management,Africa,2023,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa East,2023,93.7,105.6,11.899999999999991,12.700106723585902,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa West,2023,82.9,85.4,2.5,3.01568154402895,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2023,83.4,93.3,9.899999999999991,11.87050359712229,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2023,71.7,76.3,4.599999999999994,6.415620641562056,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2023,71.4,74.0,2.5999999999999943,3.641456582633045,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2023,50.9,60.3,9.399999999999999,18.46758349705304,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,South Asia,2023,76.4,79.3,2.8999999999999915,3.795811518324596,Ideal,PPM,RPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2023,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2023,35.4,51.5,16.1,45.480225988700575,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2023,16.3,29.4,13.099999999999998,80.36809815950919,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2023,19.2,34.0,14.8,77.08333333333334,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2023,27.6,92.5,64.9,235.14492753623188,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2023,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2023,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Other Operational Support Program & Practice Management,Other Operational Support Program & Practice Management,2023,144.8,192.9,48.099999999999994,33.218232044198885,Ideal,PPM,OPSPPM
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2024,105.8,106.3,0.5,0.4725897920604915,Ideal,CMAMP,CMAMP
Client Engagement,Country Engagement,Latin America & Caribbean,2024,126.5,189.3,62.80000000000001,49.64426877470356,Ideal,CE,CE
Client Engagement,Country Engagement,Middle East & North Africa,2024,83.0,180.8,97.80000000000001,117.83132530120484,Not Ideal,CE,CE
Client Engagement,Country Engagement,South Asia,2024,165.9,256.2,90.29999999999998,54.430379746835435,Not Ideal,CE,CE
Client Engagement,Country Engagement,Other Operational Units' Allocations,2024,21.9,126.7,104.80000000000001,478.53881278538825,Not Ideal,CE,CE
Client Engagement,Country Engagement,Africa,2024,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,CE,CE
Client Engagement,Country Engagement,Africa East,2024,199.7,346.1,146.40000000000003,73.30996494742116,Not Ideal,CE,CE
Client Engagement,Country Engagement,Africa West,2024,196.7,272.2,75.5,38.38332486019319,Ideal,CE,CE
Client Engagement,Country Engagement,East Asia & Pacific,2024,132.4,262.7,130.29999999999998,98.41389728096675,Not Ideal,CE,CE
Client Engagement,Country Engagement,Europe & Central Asia,2024,114.0,242.9,128.9,113.0701754385965,Not Ideal,CE,CE
Client Engagement,Global Engagement,Global Engagement,2024,115.5,328.5,213.0,184.41558441558442,Not Ideal,CE,GE
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2024,85.4,85.8,0.3999999999999915,0.468384074941442,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2024,25.5,27.5,2.0,7.8431372549019605,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2024,82.3,135.7,53.39999999999999,64.88456865127581,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2024,30.2,39.0,8.8,29.139072847682122,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2024,87.0,93.6,6.599999999999994,7.586206896551717,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Financing for Development,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2024,0.0,36.0,36.0,inf,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2024,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2024,47.7,51.6,3.8999999999999986,8.176100628930815,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2024,52.2,52.3,0.09999999999999432,0.19157088122604274,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2024,12.3,16.7,4.399999999999999,35.77235772357722,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2024,37.2,101.2,64.0,172.04301075268816,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2024,51.8,60.4,8.600000000000001,16.602316602316606,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2024,2.1,2.6,0.5,23.809523809523807,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Board,2024,91.7,91.7,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Ethics and Internal Justice Services,2024,14.4,19.4,4.999999999999998,34.72222222222221,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Internal Justice Services,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2024,23.0,24.7,1.6999999999999993,7.391304347826084,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2024,11.4,15.1,3.6999999999999993,32.45614035087719,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2024,31.8,43.1,11.3,35.534591194968556,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Accountability Mechanism,2024,8.5,8.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2024,24.7,25.3,0.6000000000000014,2.4291497975708563,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Senior Managing Director, Development Policy And Partnerships",2024,5.6,7.7,2.1000000000000005,37.500000000000014,Ideal,IGAS,GS
Program and Practice Management,Regions Program & Practice Management,South Asia,2024,77.8,80.7,2.9000000000000057,3.7275064267352263,Ideal,PPM,RPPM
Client Engagement,Country Engagement,East Asia & Pacific,2016,80.3,186.3,106.00000000000001,132.00498132004984,Not Ideal,CE,CE
Client Engagement,Country Engagement,Europe & Central Asia,2016,74.6,144.2,69.6,93.2975871313673,Not Ideal,CE,CE
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2024,2.0,2.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2024,3.1,3.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2024,3.1,3.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2024,5.1,5.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2024,5.6,5.6,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2024,2.1,2.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Strategic Initiatives Unit,2024,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2024,165.4,208.0,42.599999999999994,25.75574365175332,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Directorate,2024,12.0,16.1,4.100000000000001,34.16666666666668,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,People and Culture,2024,71.7,107.2,35.5,49.51185495118549,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2024,278.0,360.1,82.10000000000002,29.532374100719434,Ideal,IGAS,AS
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2024,30.0,30.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2024,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2024,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2024,0.0,0.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2024,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Regions Program & Practice Management,Africa,2024,22.75,33.7,10.950000000000003,48.131868131868146,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa East,2024,95.4,107.6,12.199999999999989,12.788259958071265,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Africa West,2024,84.3,87.1,2.799999999999997,3.321470937129297,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2024,84.9,95.1,10.199999999999989,12.01413427561836,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2024,76.2,79.4,3.200000000000003,4.199475065616801,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2024,72.7,75.4,2.700000000000003,3.713892709766166,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2024,51.9,58.4,6.5,12.524084778420038,Ideal,PPM,RPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2024,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2024,34.6,52.5,17.9,51.73410404624277,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2024,16.6,28.8,12.2,73.49397590361446,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2024,19.6,33.6,14.0,71.42857142857142,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2024,28.1,99.3,71.19999999999999,253.3807829181494,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2024,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2024,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Other Operational Support Program & Practice Management,Other Operational Support Program & Practice Management,2024,148.6,196.1,47.5,31.965006729475103,Ideal,PPM,OPSPPM
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2015,311.3,441.5,130.2,41.82460648891744,Ideal,CMAMP,CMAMP
Client Engagement,Country Engagement,Africa,2015,167.8,355.5,187.7,111.85935637663884,Not Ideal,CE,CE
Client Engagement,Country Engagement,East Asia & Pacific,2015,80.4,197.4,117.0,145.52238805970148,Not Ideal,CE,CE
Client Engagement,Country Engagement,Europe & Central Asia,2015,76.6,137.8,61.20000000000002,79.89556135770238,Not Ideal,CE,CE
Client Engagement,Country Engagement,Latin America & Caribbean,2015,86.3,134.6,48.3,55.96755504055619,Not Ideal,CE,CE
Client Engagement,Country Engagement,Middle East & North Africa,2015,49.0,95.0,46.0,93.87755102040816,Not Ideal,CE,CE
Client Engagement,Country Engagement,Other Operational Units' Allocations,2015,0.0,0.0,0.0,0.0,Ideal,CE,CE
Client Engagement,Country Engagement,South Asia,2015,77.6,154.6,77.0,99.22680412371135,Not Ideal,CE,CE
Client Engagement,Global Engagement,Global Engagement,2015,84.9,290.4,205.49999999999997,242.04946996466424,Not Ideal,CE,GE
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2015,129.0,174.0,45.0,34.883720930232556,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,People and Culture,2015,56.6,72.8,16.199999999999996,28.621908127208474,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2015,230.9,273.7,42.79999999999998,18.53616284105673,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2015,1.5,2.1,0.6000000000000001,40.00000000000001,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Board,2015,86.8,87.5,0.7000000000000028,0.8064516129032291,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Internal Justice Services,2015,3.6,4.9,1.3000000000000003,36.111111111111114,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2015,14.1,14.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2015,7.4,10.0,2.5999999999999996,35.13513513513512,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2015,26.5,35.1,8.600000000000001,32.45283018867925,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Accountability Mechanism,2015,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2015,14.4,18.6,4.200000000000001,29.166666666666675,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2015,8.7,8.7,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2015,3.7,5.2,1.5,40.54054054054054,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2015,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2015,1.5,1.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2015,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2015,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2015,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2015,7.5,7.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2015,1.5,1.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Institutional Services,"Budget, Performance & Strategy",2015,76.9,76.9,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Chief Risk Office,2015,11.6,13.0,1.4000000000000004,12.068965517241383,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,CMP-Data Privacy Office,2015,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Economics,2015,52.4,87.2,34.800000000000004,66.41221374045803,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Development Finance,2015,15.7,36.5,20.8,132.48407643312103,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,External & Corporate Relations,2015,43.9,54.9,11.0,25.05694760820046,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Global Environment Fund,2015,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,International Centre for Settlement of Investment Disputes,2015,2.2,2.2,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Leadership, Learning & Innovation",2015,41.3,50.7,9.400000000000006,22.760290556900742,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Legal Services,2015,27.2,32.6,5.400000000000002,19.852941176470594,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Operational Policy & Country Services,2015,42.4,43.2,0.8000000000000043,1.8867924528301987,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,"Strategy, Performance, and Adminstration",2015,0.0,0.0,0.0,0.0,Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,Treasury,2015,24.4,76.2,51.800000000000004,212.29508196721315,Not Ideal,IGAS,IS
"Institutional, Governance and Administrative Services",Institutional Services,WBG Finance & Accounting,2015,31.1,46.4,15.299999999999997,49.19614147909967,Ideal,IGAS,IS
Operational Grant Making Facilities,Operational Grant Making Facilities,Consultative Group for International Agricultural Research,2015,47.0,47.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Development Grant Facility,2015,32.8,32.8,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Global Partnership for Social Accountability,2015,5.0,5.0,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,Institutional Development Fund,2015,0.3,0.3,0.0,0.0,Ideal,OGMF,OGMF
Operational Grant Making Facilities,Operational Grant Making Facilities,State and Peace Building Fund,2015,25.0,25.0,0.0,0.0,Ideal,OGMF,OGMF
Program and Practice Management,Practice Groups Program & Practice Management,"Equitable Growth, Finance and Institutions",2015,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Practice,2015,190.5,211.2,20.69999999999999,10.86614173228346,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Global Themes,2015,4.5,27.1,22.6,502.22222222222223,Not Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Human Development,2015,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Infrastructure,2015,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Other Operational Support,2015,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Practice Groups Program & Practice Management,Sustainable Development,2015,0.0,0.0,0.0,0.0,Ideal,PPM,PGPPM
Program and Practice Management,Regions Program & Practice Management,Africa,2015,133.8,140.1,6.299999999999983,4.708520179372184,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,East Asia & Pacific,2015,60.1,61.4,1.2999999999999972,2.1630615640598956,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Europe & Central Asia,2015,59.4,62.1,2.700000000000003,4.54545454545455,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Latin America & Caribbean,2015,56.7,57.1,0.3999999999999986,0.7054673721340362,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,Middle East & North Africa,2015,38.4,47.6,9.200000000000003,23.958333333333343,Ideal,PPM,RPPM
Program and Practice Management,Regions Program & Practice Management,South Asia,2015,57.7,59.4,1.6999999999999957,2.9462738301559717,Ideal,PPM,RPPM
Client Engagement,Country Engagement,Africa,2016,188.5,366.1,177.60000000000002,94.21750663129976,Not Ideal,CE,CE
Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,Centrally Managed Accounts & Miscellaneous Programs,2016,391.7,454.7,63.0,16.083737554250703,Ideal,CMAMP,CMAMP
Client Engagement,Country Engagement,Latin America & Caribbean,2016,85.6,144.0,58.400000000000006,68.22429906542057,Not Ideal,CE,CE
Client Engagement,Country Engagement,Middle East & North Africa,2016,49.8,120.5,70.7,141.9678714859438,Not Ideal,CE,CE
Client Engagement,Country Engagement,Other Operational Units' Allocations,2016,0.0,0.0,0.0,0.0,Ideal,CE,CE
Client Engagement,Country Engagement,South Asia,2016,82.6,171.0,88.4,107.02179176755449,Not Ideal,CE,CE
Client Engagement,Global Engagement,Global Engagement,2016,77.7,244.0,166.3,214.02831402831404,Not Ideal,CE,GE
"Institutional, Governance and Administrative Services",Administrative Services,Global Corporate Solutions,2016,130.9,175.7,44.79999999999998,34.22459893048127,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Health and Safety Directorate,2016,0.0,0.0,0.0,0.0,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,People and Culture,2016,47.9,60.9,13.0,27.139874739039666,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Administrative Services,Information & Technology Solutions,2016,232.8,278.6,45.80000000000001,19.67353951890035,Ideal,IGAS,AS
"Institutional, Governance and Administrative Services",Governance Services,Administrative Tribunal,2016,1.6,2.1,0.5,31.25,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Board,2016,90.1,90.1,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Internal Justice Services,2016,3.7,5.0,1.2999999999999998,35.13513513513512,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Corporate Secretariat,2016,15.5,16.5,1.0,6.451612903225806,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Group Internal Audit,2016,7.5,10.2,2.6999999999999993,35.99999999999999,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Independent Evaluation Group,2016,26.4,35.0,8.600000000000001,32.57575757575758,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Accountability Mechanism,2016,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Integrity Vice Presidency,2016,18.4,18.6,0.20000000000000284,1.086956521739146,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Managing Directors,2016,9.7,9.7,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Ethics and Business Conduct,2016,4.5,6.1,1.5999999999999996,35.55555555555554,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Senior Vice President Mahmoud Mohieldin,2016,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of Suspension & Debarment,2016,1.5,1.5,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,"Office of the Managing Director, Operations",2016,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Administrative Officer,2016,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the Managing Director and WBG Chief Financial Officer,2016,0.0,0.0,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Office of the President,2016,7.7,7.7,0.0,0.0,Ideal,IGAS,GS
"Institutional, Governance and Administrative Services",Governance Services,Sanctions Board,2016,1.6,1.6,0.0,0.0,Ideal,IGAS,GS
